NO,ID,LERI,Order,fsr1,fsr2,fsr3,fsr4,fsr5,fsr6,fsr7,fsr8,fsr9,fsr10,fsr11,fsr12,fsr13,fsr14,fsr15,fsr16,fsr17,fsr18,fsr19,fsr20,fsr21,fsr22,fsr23,fsr24,fsr25,fsr26,fsr27,fsr28,fsr29,fsr30,fsr31,fsr32,fsr33,fsr34,fsr35,fsr36,fsr37,fsr38,fsr39,fsr40,time
2642,7,1,2,0,0,0,0,65.88659091,23.65045455,55.98159091,5.826590909,1.433863636,116.7390909,381.8034091,67.49727273,0,302.4602273,119.2459091,2478.665909,0,0,51.475,701.5956818,0,0,63.55409091,39.08886364,0,3.3125,3.58,0,0,299.3027273,644.4111364,0,0.004545455,1169.356364,192.8290909,0,0,0,0,0,1.93494
2643,7,1,3,0,0,7.614857143,0,180.6465714,0.052857143,6181.544857,0,17.332,1046.661143,785.9471429,0,1142.295143,409.7322857,170.596,0,287.9985714,2.355142857,0,0,389.9008571,80.83571429,0,0,0,63.41685714,0,0,0,171.3202857,489.5262857,0,0,761.9605714,311.7197143,0,0,0,0,0,1.516098
2644,7,1,4,0,0,0.312439024,0,119.1426829,0.004878049,1883.802439,0,34.38560976,856.6509756,178.455122,0,1399.301463,190.2985366,107.2285366,0,531.4095122,0,0,0,1902.335122,58.50414634,0,0,1.984878049,130.6390244,0,0,0,277.642439,125.4797561,0,0,1129.464878,82.82560976,0,0,0,0,0,1.76741
2645,7,1,5,0,0.004761905,0,3.398809524,0.021428571,38.84833333,5.085952381,173.2030952,34.08071429,478.3680952,162.4466667,82.18809524,3746.682857,162.9542857,54.63738095,0,4.787619048,101.4261905,0,0,0,540.2866667,0,0,0,73.7497619,14.70190476,0,0,108.8488095,3211.394762,0,0,0.13452381,1425.502857,0,0,0,0,0,1.933805
2646,7,1,6,0,0,0.219574468,0,72.81659574,0,1627.414255,0,7.461702128,969.5012766,198.8029787,0,2071.424043,303.577234,121.9655319,0,824.9395745,5.959787234,0,0,1312.982553,84.27808511,0,0,0.014893617,111.0129787,0,0,0,181.9640426,314.7965957,0,0,694.0346809,110.3523404,0,0,0,0,0,2.045911
2647,7,1,7,0,0,0.22173913,0,0,612.1878261,623.0658696,775.195,12.50869565,121.4856522,94.23652174,1.454347826,123.611087,2026.42587,224.1813043,4.344347826,1596.815,74.69434783,0,0,12.22673913,408.4082609,0,0,0.009782609,79.32478261,0,0,0,105.2397826,1222.845435,0,0,74.59521739,2361.216304,0,0,0,0,0,2.003282
2648,7,1,8,0,0,0.025471698,0,0,73.72754717,177.5701887,0,64.30509434,95.23735849,68.73679245,0.013207547,1762.320943,574.0226415,77.82716981,0,3403.370189,33.50075472,0,0,2397.643585,172.5024528,0,0,0.008490566,109.5601887,0,0,0,226.3616981,418.7950943,0,0.003773585,2093.345094,1783.334717,0,0,0,0,0,2.373262
2649,7,1,9,0,18.3665,11.0355,0,66.34125,0.70975,2531.7995,0,875.166,525.37025,130.59775,0.01125,248.9075,146.34175,0.21,0,95.10175,0,0,0,498.26525,0,0,0,73.5025,149.66825,0,0,63.81875,654.05425,1.44075,0,0.005,840.373,0.3625,0,0,0,0,0,1.825264
2650,7,1,10,0,19.61636364,4.004090909,22.48068182,0,7.276136364,1.221590909,100.1036364,0.145681818,855.0095455,512.5938636,169.5427273,4947.019545,123.0927273,26.37818182,0,5.816590909,86.30659091,0,0,0,145.2804545,0,0,0,123.2806818,18.53090909,0,0,431.1259091,4479.784773,0,0,12.14727273,292.8995455,0,0,0,0,0,1.934965
2651,7,1,11,0,5.907058824,3.108529412,10.75852941,0,27.36411765,0.781176471,152.3073529,43.41735294,996.5388235,889.9173529,213.5129412,4148.496471,1185.060882,22.95176471,0,0.013235294,313.2379412,0,0,0,2639.923235,3.974705882,0,0,56.39264706,15.50441176,0,0,31.07205882,1128.344118,20.24676471,0,0,140.5723529,0,0,0,0,0,1.504076
2652,7,1,12,0,103.2811905,29.85857143,0.010714286,115.6590476,0.004761905,13217.13333,0,141.2647619,1121.464286,711.3428571,0,330.3309524,110.1902381,36.10714286,0,152.4866667,0,0,0,718.2897619,39.43880952,0,0,3.645714286,152.5619048,0,0,0,191.7540476,118.012619,0,0,119.6692857,4.99547619,0,0.004761905,0,0,0,1.850504
2653,7,1,13,26.99025,0.01125,95.203,0,199.5955,691.86375,898.62,0,313.4535,54.8175,13.01775,0,269.83375,0.3445,0,0,357.75075,9.89875,0,0,2.9715,136.70725,0,0,0,3009.4185,53.664,0,0,552.63475,51.22675,0,0,0.28875,0,0,0,0,0,0,1.786495
2654,7,1,14,3.177173913,0,5.018913043,0,44.17826087,0.019565217,1757.972174,0,10.74673913,887.1926087,332.7193478,0,1546.427391,383.3563043,116.11,0,258.4317391,46.51413043,0,0,37.24956522,133.9495652,0,0,0,121.583913,0.486956522,0,0,185.7536957,2984.403478,0,0,108.2423913,2273.245652,0,0,0,0,0,2.08766
2655,7,1,15,0,0.01097561,4.610243902,0,30.21585366,0,1260.538537,6.835609756,8.023414634,809.3734146,909.614878,0,1057.755122,132.8556098,128.5041463,0,130.0843902,0.212439024,0,0,194.0760976,32.47878049,0,0,10.95414634,114.7956098,0,0,15.15682927,410.3826829,21.34195122,0,0.004878049,1025.292683,0,0,0,0,0,0,1.803788
2656,7,1,16,0,1581.150227,1458.968636,0,584.0290909,10.45795455,149.6122727,0,172.7388636,1569.049318,2122.364091,0,2824.733636,56.13545455,3.503636364,0,714.6925,51.67,0,0,69.35590909,140.0202273,0,0,0,120.9011364,12.33545455,0,0,118.1872727,918.2043182,0,0,0.153409091,24.32795455,0,0,0,0,0,2.021096
2657,7,1,17,0,0,2.683333333,0,0.029166667,45.32020833,135.2154167,927.6914583,80.78520833,441.1795833,124.6929167,0.072916667,2560.269375,847.215,129.411875,0,138.4164583,53.30458333,0,0,55.16541667,146.0266667,0,0,0.004166667,117.0070833,0,0,0,302.1927083,1653.477708,0,0,3169.597292,2706.232917,0,0,0,0,0,2.093953
2658,7,1,18,0,0,0.03490566,0,0.059433962,5.219811321,70.32320755,1558.673208,8.342830189,678.7254717,111.3792453,0.013207547,1818.716981,236.3807547,245.7164151,0,324.8041509,0.008490566,0,0,2065.868868,11.36641509,0,0,76.74415094,39.72584906,0,0,269.3367925,353.2869811,0,0,168.9224528,2973.272642,0,0,0.003773585,0,0,0,2.360196
2659,7,1,19,0,548.3136,27.8172,24.823,10.237,115.0222,13.6958,47.888,96.0014,1582.0202,1084.3764,4.0616,1939.1476,35.8216,0.9176,0,267.033,54.9378,0,0,9.402,92.5634,0,0,0,672.7072,7.995,0,0,1188.12,2343.6326,0,0,342.8256,0.8988,0,0,0,0,0,2.290375
2660,7,1,20,0,0.015384615,0.061538462,0,0,42.69179487,66.24102564,4179.904359,18.57076923,159.4561538,309.4651282,58.07974359,92.14461538,1477.841795,327.1517949,42.12487179,38.46128205,69.86435897,0,0,0.005128205,160.0351282,0,0,0,57.61794872,0.171794872,0,0,117.0661538,1528.197436,0,0.005128205,536.2335897,2662.62641,0,0,0,0,0,1.715349
2661,7,2,1,5.251,0.540666667,35.437,0,20.52733333,1.184333333,1.506666667,10.84533333,69.34866667,656.0363333,2311.094,31.95566667,0.015,14.22433333,115.3906667,2225.069333,0,0,77.30466667,1.009,0,0,65.98866667,0,0,198.7153333,0.995,0,1.332333333,416.6266667,40.618,0,0,79.90766667,0,0,0,0,0,0,1.33012
2662,7,2,2,3.636486486,0.354054054,26.99378378,0,11.15837838,1.811891892,11.60054054,0.473783784,64.11972973,245.2156757,1112.865135,25.14756757,0,7.7,127.6767568,1123.138378,0,0,135.2878378,0,0.018918919,0.865405405,239.2427027,0,0,1269.491892,3.477837838,0,73.02864865,1164.712973,31.80972973,0,0,191.2332432,0,0,0,0,0,0,1.653919
2663,7,2,3,0,0.04047619,0.028571429,0,442.582381,0.010714286,54.90285714,0,40.96952381,397.8985714,861.7488095,676.5719048,15.27619048,123.7254762,700.5740476,850.6847619,0,0,740.1171429,4.584761905,0,0.04047619,1246.024286,0,0,49.24761905,6.592142857,0,17.07380952,291.0388095,12.5247619,0,1.270714286,1247.978571,0,0,0,0,0,0,2.171168
2664,7,2,4,0,0,0.01875,0,1628.531458,3.622708333,78.68270833,0,32.10895833,146.8652083,222.25125,51.19541667,62.65333333,610.5585417,728.1320833,252.9216667,0.004166667,0,118.0122917,40.57145833,0,0.004166667,206.1985417,0,0,5.353958333,7.211875,0,0,470.2872917,34.76583333,0,0.004166667,2723.660833,3.653541667,0,0,0,0,0,2.186701
2665,7,2,5,0.005128205,0.099230769,0,0,2.068205128,136.7938462,19.66923077,702.3125641,0,820.0030769,1387.915128,52.14282051,0,172.3887179,104.5064103,663.4351282,0,0,46.02769231,59.15230769,0.017948718,0,61.58333333,0.138205128,0,35.26641026,3.167435897,0,0,951.1984615,94.6174359,0,0,3731.864103,0,0,0,0,0,0,1.715966
2666,7,2,6,0.035897436,0,0,0,1364.352564,0.011538462,1509.309231,0,143.4807692,2310.303077,832.2376923,14.19435897,64.70512821,84.45333333,282.7107692,33.8874359,0,0,109.2066667,0,0,0.017948718,242.1764103,0,0,17.39794872,6.217435897,0,0,588.9920513,379.6369231,0,0.005128205,2983.528205,19.78435897,0,0,0,0,0,1.744245
2667,7,2,7,1575.11875,2230.123125,2.27,0,34.7909375,108.975,27.19625,3.9934375,553.360625,1590.380938,2467.82125,7.9071875,0,0.0953125,70.6909375,33.2121875,0,0,120.2575,0,0,0.0296875,70.819375,0,0,1357.233125,11.8078125,0,0.3221875,818.5446875,200.9690625,0,0,5.55625,0,0,0,0,0,0,1.541144
2668,7,2,8,427.434,2369.003,0,0,68.56366667,33.10366667,110.9146667,0,403.6993333,2712.808667,4332.856333,6.054,0.04,2.987666667,287.803,9.298,0,0,508.7083333,0,0,0,252.0773333,0,0,254.914,9.803666667,0,0,461.033,162.4736667,0,0.006666667,65.31033333,0,0,0,0,0,0,1.305073
2669,7,2,9,17.64766667,37.946,0,0,3842.368,0.351,131.6053333,0,785.0543333,3077.906333,2302.730667,21.467,12.03533333,39.045,417.861,50.93666667,0,0,132.4993333,0,0,0,281.9426667,0,0.015,56.33766667,2.998666667,0,0.143333333,558.8533333,60.425,0,0,1648.903333,0,0,0,0,0,0,1.397072
2670,7,2,10,0,0,0,0,3861.821515,3.468181818,420.5963636,0,67.05636364,591.8606061,118.1233333,53.33727273,596.5727273,865.3360606,537.5524242,19.84636364,0,0,75.72848485,2.187878788,0,0.013636364,55.77272727,0,0,8.002121212,0.18030303,0,18.04818182,337.5209091,0.034848485,0,93.00454545,2611.369394,0,0,0,0,0,0,1.460707
2671,7,2,11,0,0.3821875,0.0140625,0,8156.895938,0.08125,79.765625,0,982.0840625,1949.786563,1166.833437,24.9134375,21.05625,84.094375,129.72875,60.781875,0,0,96.3546875,0,0.00625,0,110.9190625,0,0,42.3725,3.831875,0,2.5771875,628.416875,54.0509375,0,0,3149.964375,0,0,0,0,0,0,1.383605
2672,7,2,12,0,0,0,0,5639.375278,0,136.7722222,0,186.9702778,1562.964167,671.9236111,24.0325,62.06222222,98.885,222.8458333,32.38027778,0,0,100.6591667,0,0,0,122.3988889,0,0,28.55194444,5.993055556,0,0,557.8005556,67.82055556,0,0.005555556,2445.0425,0,0,0,0,0,0,1.571815
2673,7,2,13,0,0,0,0,7012.759118,0,1968.838235,0,1082.492647,2126.266176,378.3582353,7.708823529,102.2244118,208.7938235,262.4047059,25.05647059,0.013235294,0,126.2402941,0,0,0.020588235,272.4258824,0,0,5.667352941,3.897058824,0,0,509.3805882,98.01911765,0,0,2969.948529,29.03441176,0,0.005882353,0,0,0,1.502158
2674,7,2,14,31.9796875,446.2815625,0,0,1432.199375,48.9128125,76.7596875,0,4820.194688,2416.545312,1800.75125,0.0296875,8.6325,10.5359375,99.7053125,0,0,0,95.055625,0,0,0,72.478125,0,0,237.9365625,5.9521875,0,0,628.578125,610.539375,0,0,69.665,0,0,0,0,0,0,1.36352
2675,7,2,15,0,0.329411765,0,0,1009.110294,13.22441176,189.8429412,0,38.13029412,359.4238235,272.1341176,29.93058824,88.76735294,1897.421471,1094.048235,79.42911765,0,0,71.02117647,24.02970588,0,0,57.96735294,0,0,0.438823529,1.125294118,0,0,165.1247059,40.58970588,0,0,1181.578235,51.55941176,0,0,0,0,0,1.484365
2676,7,2,16,0,0,0,0,3880.684054,0.037837838,55.93567568,0,56.9472973,1218.925946,2092.897027,70.49189189,5.789459459,140.0594595,206.4854054,1033.497297,0.005405405,0,92.96594595,16.80891892,0.018918919,0,148.0327027,0,0,8.171891892,7.60027027,0,0,434.0562162,207.3678378,0,0,1588.404324,33.23918919,0,0.005405405,0,0,0,1.660633
2677,7,2,17,1325.695806,36.47354839,953.3219355,0,56.31129032,137.1954839,43.80741935,259.0209677,378.393871,747.2106452,1091.215484,30.39419355,0.006451613,0.053225806,73.47612903,20.90548387,0,0,86.81451613,0,0,6.742903226,42.48451613,0,0,773.9677419,2.372580645,0,25.28387097,398.7767742,1.208064516,0,0,0.836129032,0,0,0,0,0,0,1.264889
2678,7,2,18,0.412162162,0,0,0,773.5535135,846.5424324,0.005405405,0,38.00594595,96.19135135,41.12972973,0.170810811,220.0627027,2506.880541,4300.607297,129.2905405,0,0,1035.512703,87.85108108,0,0,474.6475676,24.97027027,0,0,7.275405405,0,0,75.63540541,88.41486486,0,0,1237.965676,708.8221622,0,0,0,0,0,1.68587
2679,7,2,19,78.15787879,185.1936364,2.755151515,0,41.99242424,14.07545455,51.54151515,0,135.6712121,1632.317273,2407.53,26.76060606,0,7.305757576,133.7881818,413.8112121,0.013636364,0,245.859697,0,0,2.134848485,510.1693939,0,0,500.3760606,4.297575758,0,66.04575758,605.550303,6.928484848,0,0,89.48818182,0.104545455,0,0,0,0,0,1.468301
2680,7,2,20,0.808,0.170333333,15.92933333,0,66.821,0.031666667,9.708333333,2.845333333,63.66466667,896.0026667,1977.065,49.908,0,39.81833333,109.3096667,868.7676667,0.031666667,0,81.11966667,0,0,0.006666667,79.51833333,0,0,98.66733333,1.187333333,0,10.23866667,449.0886667,16.48233333,0,0,435.307,0,0,0,0,0,0,1.298719
2681,8,1,1,0,0,0.197352941,0,0,58.48470588,56.50676471,0,5.307941176,28.28735294,134.2855882,0.005882353,65.41264706,4844.778824,3982.926471,0,63.82235294,90.37617647,30.01470588,0,34.69852941,70.71147059,4.441764706,0,2.788235294,69.79676471,4.664411765,0,0,115.2888235,90.59,0,0,130.5091176,204.1476471,0,0,0,0,0,1.696328
2682,8,1,2,0,0,15.12205882,0,0.019117647,8.915588235,554.1938235,0,2.188529412,2546.484118,2583.377647,17.83411765,305.0002941,1267.618235,196.1647059,0,54.17176471,64.03794118,2.051764706,0,22.64205882,121.9523529,3.405,0,0,181.7258824,6.195294118,0,0,555.8420588,33.75176471,0,0,58.06147059,0.583823529,0,0,0,0,0,1.44424
2683,8,1,3,0,0.094642857,0.007142857,0,47.87821429,6.609642857,478.6478571,0,0,3258.498571,2915.833214,0.007142857,837.9635714,2913.204643,191.2528571,0,126.4521429,51.15571429,0.535,0,75.98035714,161.1810714,6.9125,0,0,189.3660714,8.443571429,0,0,952.9821429,521.2528571,0,0,115.0471429,403.9582143,0,0,0,0,0,1.221734
2684,8,1,4,0,0,0.840571429,0,64.34971429,385.7057143,0.068571429,0,0.011428571,189.3594286,163.3434286,0,674.7854286,3277.113714,1801.687714,0,73.61342857,28.55914286,5.424,0,111.1345714,47.03314286,6.634,0,59.30457143,110.5502857,3.942285714,0,3.93,483.9085714,15.21171429,0,0,451.3988571,18.12628571,0,0,0,0,0,1.554949
2685,8,1,5,0.015517241,366.5158621,30.96482759,0,2.222758621,662.8524138,1360.064483,0,440.5237931,3238.141724,2119.976897,0.006896552,87.99862069,40.02931034,0.105172414,0,44.74068966,59.2262069,0,0,15.23965517,373.2993103,37.29724138,0,0,938.1096552,13.09862069,0,0.006896552,1369.837931,441.9624138,0,0,0.198275862,0,0,0,0,0,0,1.253733
